,x,y,code,text
1,1.2430656000000002,4.060604489999999,684165,CP STRAWBERRY TRIFLE600G 1F 684165 
4,3.104922,4.0193721899999995,684067,CP IR CHOCO MELT IN MID2x147G 1F 684067 
2,1.8320376000000003,4.01367216,655515,CP. TIRAMISU500G 1F 655515 
0,0.6976586999999997,4.00467216,762290,CP VNLA CHSCKE530G 1F 762290 
3,2.4836123999999997,4.00000449,736377,CP IR STICKY TOFFEE PUDD400G 1F 736377 
5,0.20553,3.9371319000000007,812091,CP CHOC DUNK CHSCK SLCS2x90G 1F 812091 1 
10,2.6249141999999996,3.4076721599999997,779533,MLLR FC STRAWB.4x135G 1F 779533 
11,3.2990306999999994,3.4076721599999997,779532,MLLR CC BALLS.4x135G 1F 779532 
8,1.5292743,3.3713721899999998,725199,CAD LAY OF JOY CHOC2X90G 1F 725199 
7,1.0438968000000002,3.34000449,552012,CP FRSH CRM/APP TRNVR 2S2S 1F 552012 
9,2.0300400000000005,3.3116729999999994,794158,CAD POJ DAIRY MILK4x70G 1F 794158 
6,0.3889812000000001,3.2522199,552021,CP FRSH CRM CHC ECLRS 2S2S 2F 552021 2 
21,3.3536375999999994,2.7395721899999996,631842,CP IR TOFFEE FDGE150G 2F 631842 
12,1.1500800000000002,2.7368729999999992,813534,LHT&FRE SNGL STRWBR Y150G 1F 813534 
20,2.9500800000000003,2.7326729999999992,723514,MULLERI CE APPLE18 0G 1F 723514 
19,2.6637402,2.7302740200000004,723526,MULLERICE STRAWB.180G 1F 723526 
15,1.4341331999999998,2.67704046,717349,MULLERLIG HT STRWBER RY.175G 1F 717349 
16,1.7201388,2.6770396200000004,717343,MLLRLIGHT TOFFEE.17 5G 1F 717343 
17,2.0271600000000003,2.669072999999999,56,MULL CRNR STRAWB.1 50G 1F 56 
18,2.35866,2.669072999999999,41728,MLLR CC VAN+CHO C #.135G 1F 41728 
14,0.2162775000000002,2.6255199000000005,711928,PETIFLUS STRAW&R ASP.6x47G 1F 711928 3 
13,0.7204200000000001,2.6180729999999994,531368,YOPLAIT WILDLIFE SRA #6x40G 1F 531368 
24,1.2483165,2.06757319,716890,ONKEN BIOPT MNGO PAPAYA450G 2F 716890 
28,2.6476109999999995,2.0560396200000004,653109,TOTAL GRK 0% FF YOG170G 1F 653109 
23,0.6675897000000001,2.03740449,814697,MRYBLL STRBRRY YOGRT400G 2F 814697 
22,0.18137339999999996,2.0204439,605214,ACTIVIA BIO STRAWB4 X125G 1F 605214 4 
25,1.6973469000000003,2.0182414600000005,765820,YEO VALLEY 0% VANILLA320 G 1F 765820 
26,1.9963524,2.017174080000001,765819,YEO VALLEY WH MLK STRAWB320G 1F 765819 
27,2.3245776000000005,2.0050396200000002,794639,COLLECTIVE PASSION FRUIT450G 1F 794639 
29,2.9953137000000005,1.9990406200000008,696721,TOTAL 0% FAT GRK YGRT500G 1F 696721 
30,3.3901136999999997,1.9990406200000008,696719,TOTAL 5% FAT GRK YGRT500G 1F 696719 
31,0.6660875999999999,1.4324721599999999,74788,YAKLT FRMNTD MLK DRNK7x65ML 1F 74788 
38,3.2174469,1.4093741999999998,55375,YEO VALLEY ORGNC NAT YOG150G 1F 55375 
32,1.2140469000000005,1.3954404599999999,728307,ALPRO S/PLAIN YOG ALT500G 1F 728307 
33,1.4993139,1.3954404599999999,786029,ALPRO PLAIN COCONUT5 00G 1F 786029 
34,1.7870469,1.3942404599999998,789243,ARLA SKYR ICLNDC YGT450G 1F 789243 
37,2.8283142,1.38897219,694107,CP GRK STYLE NAT YGRT.#500G 2F 694107 
35,2.07963,1.3862729999999999,694104,CP LF NAT YOG500G 1F 694104 
39,3.4783190000000004,1.3862729999999999,51189,YEO VALLY NT WHL MLK O500G 1F 51189 
36,2.3823693,1.38523962,781452,CP 0% GRK STY NAT YGRT500G 1F 781452 
40,0.13249020000000003,1.3505740800000001,574443,ACTIMEL STRW YOG DRNK4X100G 1F 574443 
